property_id,property_name,past_uses,property_highlights,city
231281,Morgan Property,NA,"Former bulk oil above ground tank storage. Frontage along Pennamaquan River. Tanks removed, only concrete saddles remain. No petroleum detected above regulatory guidelines for residential sites.

Former Use: Property formerly used for above ground bulk oil storage. Tanks removed prior to 1950; concrete tank saddles remain. Potential underground fuel line from former tanks to shore of Pennamaquan River where oil was transported via barge/ship. Property is largely undeveloped at present.",PEMBROKE
231741,Abol Bridge Campground and Store,NA,"Former Use: The Site consists of an irregularly-shaped parcel of land, encompassing approximately 24.9 acres and is currently used as a commercial store/restaurant, gasoline filling station, and campground. The property is located between a conserved state park and working timberlands within the unorganized territories of Maine. The Site is improved with numerous small bunkhouses, an open-air pavilion, two shower houses, a residential cabin, a restaurant/store, gasoline filling station with petroleum underground and aboveground storage tanks (USTs and ASTs) and fuel dispenser island, generator shed, and several small outbuildings (the ?Site Buildings?). Remaining portions of the Site consist of gravel-paved drives and parking areas, vehicle/tent campsites, and wooded areas. The Site has operated as a restaurant/store, filling station, and campground, since circa early 1970s. One 2,000-gallon regular gasoline UST and one 500-gallon retail diesel AST are located near the southwestern corner of the Site. Two, active 275-gallon diesel fuel ASTs supplying the generator, and one inactive, disconnected, and empty 275-gallon AST are located near the southeastern corner of the Site, adjacent to the generator shed. Two former USTs (one 8,000-gallon fuel oil and one 3,000-gallon gasoline) were reportedly removed from the Site in 1991. These former USTs were inferred to have been installed sometime in the 1970s and were reportedly located in the vicinity of the current 2,000-gallon UST. In addition, a 10,000-gallon diesel AST was reportedly utilized at the Site, from an unknown date until it was removed from the Site in 2001. This AST was reportedly located along the southern Site boundary between the store/restaurant and the generator shed.
The main fueling station UST was removed in May 2023 and soil screening indicated no impacts to the subsurface beneath the former tank.",T02 R10 WELS
233084,Belfast Public Works,NA,"Former Use: The earliest records, Sanborn Fire Insurance maps 1923, indicate the Subject Property was used as a ball field and had a dwelling on the northeast portion of the property. According to tax assessor records, the three existing buildings were constructed in 1956. The existing buildings have been used to store salt and provide maintenance to town vehicles.",BELFAST
233621,Southgate House,NA,"Historical farmhouse property to be redeveloped to low income housing. A cabin, small barn/shop, and another barn segment have been demolished.

Former Use: The Site is a 2.78 acre, mostly rectangular parcel with the northern border formed by Phillips Brook. The Site formerly contained three structures: a residential barn/garage, a storage barn, and a caretaker’s cabin, which were recently demolished. Currently, the Site contains two of the original structures: a farmhouse and a storage barn. The Site is surrounded by a mix of residential and commercial properties. Adjoining properties include retail shops, a residential parcel, and a parcel used to stockpile soil, sand, and gravel. The Site was historically used as a single-family residence and farmland from the early-1800s through the 1930s. Historical farming operations are presumed to have been small scale given the small size of the Site, or may have been conducted offsite, with the Site serving as a base for the farming operation. During the 1930s to the present, the Site has served as a multi-unit residential rental facility, restaurant, inn, and commercial businesses that operated out of the main two-story building. The outbuildings have mainly been used for storage. The immediate surrounding area was historically also used for residential and farming purpose, however, has gradually been redeveloped into more of a light commercial area through the present.",SCARBOROUGH
233622,Thompsons Point - Children's Museum,NA,"Former Use: The Site is the 1.12-acre Lot 7 portion of the larger Thompson?s Point property. The Site is currently undeveloped. The parcel and surrounding properties are unpaved driveways or parking with the Fore River to the east, parking lots and an outdoor concert venue/winter activity area to the south, commercial building undergoing redevelopment to the west (Brick South), and previously redeveloped commercial building to the north (Brick North). As the Site is undeveloped, utilities are not currently provided to the Site. Water can be provided to the Site by the Portland Water District, sewer services by the City of Portland, and electrical service by Central Maine Power. In the late 1800s, Thompson?s Point was developed as a railroad yard for the Maine Central Railroad. The Site itself was occupied by railroad tracks. Adjoining buildings were originally constructed prior to 1909 and were used as machine shops, train car repair, and planing. Railroad use continued through the 1930s, and by the 1940s other industry moved into the adjoining buildings including an ordnance plant; however, the Site continued to be occupied by railroad tracks. From the 1960s through the 1980s the tracks were removed from the Site, and a variety of industry and commercial businesses occupied the adjoining buildings, and most of the undeveloped portions of the peninsula, including the Site, were used for storage of various materials and stockpiling. The perimeter of the peninsula was gradually filled in the 1960s and 1970s, particularly at the southern end, to expand the usable land on the peninsula. The Site was used for storage of containers between approximately 1997 and 2012. By 2014, the Site and rest of Thompson?s Point was clear of stored materials and containers.",PORTLAND
234862,Byer Manufacturing Company,NA,"Former Use: Various sources indicate the original Area 2 of the Main Building was constructed as St. Mary’s Catholic Church in 1869. A new St. Mary’s Church was built on Main Street in 1905. Following the relocation of the church, the building was converted to a fire station based on Sanborn Fire Insurance Map dated 1906 and later in 1918 as a theater. The property in 1925 was operated as a sawmill and a manufacturer of wooden materials and a warehouse which continued to the present.",ORONO
235482,Millers Block,NA,"The Site is located at 689 Lisbon Street in the Town of Lisbon, Androscoggin County, Maine. As listed on the Town of Lisbon Assessor’s card, Millers Block, which fronts Lisbon Street includes the building located on Map Lot U05-234 and is currently owned by Mr. Nathan Miller. A Phase I ESA was performed for the building located on the parcel and includes the undeveloped area west-adjacent to the building’s rear parking lot. Map Lot U05-234 in its entirety is 1.67-acres in size; the Millers Block building located along Lisbon Street and the undeveloped area west-adjacent to the rear parking lot. The 5,312 square foot building, built in 1980 (built onto an existing structure built in the 1950s), is divided up to accommodate up to four commercial tenants. Each commercial unit includes one bathroom.

Former Use: The Site is located at 689 Lisbon Street in the Town of Lisbon, Androscoggin County, Maine and is currently owned by Nathan Miller. The site (Map Lot U05-234) is 1.67-acres in size. The Millers Block building is currently occupied by four commercial entities, including Miller’s Variety (convenience store and fueling station), the Hair Loft salon, Atlas Family Chiropractic (currently vacant), and the Double Diamond Pawn shop. Historically, the Site building had been a single unit convenience store, and prior to that used for lumber company storage and operations. Exterior areas are paved (asphalt), gravel, grass, and/or landscaped.",LISBON FALLS
235735,Franklin Reserve,NA,"Current undeveloped property planned to be developed into a community garden space.

Former Use: The Site is situated in an area of Portland that was impacted by the Great Fire of 1866, which destroyed approximately 1,500 buildings in the City. The fire produced ash and debris which was used to fill in the southern portion of Back Cove, significantly increasing the size of East Bayside, the neighborhood where the Site is located. Starting in 1969, residential buildings along Franklin Street were demolished to create a four-lane divided highway, currently known as Franklin Arterial. Franklin Reserve is a 1.88-acre parcel that was reportedly reserved for the new four-lane highway, but was never utilized for this purpose. Currently, Franklin Reserve includes a Portland Housing Authority administrative office (58 Boyd Street), community focused urban farms occupied by Cultivating Community (central and northern portions of 2 Boyd Street), and undeveloped land (eastern portion of 2 Boyd Street).",PORTLAND
235763,Kwik Stop,NA,"Former Use: Former gasoline station, store, and pizza shop",BUCKSPORT
235825,Forestry Building,NA,"Former Use: The Site includes two single story structures located at the intersection of U.S. Route 1 and Grand Lake Stream Road, in Indian Township Maine. Both structures are vacant and were developed as a State Forestry office prior to 1960. The buildings were historically used as office and storage space, including a two bay garage for vehicle storage. The Passamaquoddy Tribe claimed the property, located on trust land, in the late 1970s or early 1980s and subsequently used the facility to house the Tribal Forestry Department.",PRINCETON
235884,New Gloucester Public Works,NA,"Aging public works garage in New Gloucester Upper Village. Master planning indicates this area could use commercial redevelopment and improvements in walkability. The Town is constructing a new DPW garage at another property so this property is planned for redevelopment RFP.

Former Use: The approximately 3.9-acre Site is comprised of two parcels and is improved with three Site buildings: an approximately 7,300-square foot (sf) service garage constructed in 1970, an approximately 10,248-sf sand/salt storage shed constructed in 1990, and an approximately 3,200-sf second garage constructed in 1996. The Site buildings are currently used by the Town of New Gloucester DPW for storage of Town vehicles and equipment; drums of waste oil, transmission fluid, motor oil, and hydraulic oil; and sand and salt used on the roads during inclement weather. Exterior portions of the Site in the vicinity of the second garage are used to store stockpiles of gravel, riprap, and culvert materials. Prior to construction of the Site buildings in 1970, the Site was undeveloped dating back to at least 1894, and the surrounding property was developed primarily as farmland. As mentioned above, the service garage was constructed in 1970; however, its use is unclear until 1984 when the Town of New Gloucester purchased the Site for use by the DPW. Beginning approximately in 1984, a large sand and salt stockpile was located in the general center of the Site for use on Town roads during inclement winter weather. In 1990, a large sand/salt storage shed was constructed in place of the stockpile. In 1996, the second garage was constructed for additional storage of Town of New Gloucester DPW equipment. The Fire and Rescue Squad occupied the two southern bays of the service garage for a period of time until they relocated to a new facility in 2011. It is not clear when they began operation at the Site.",NEW GLOUCESTER
236093,Water and Central Street Block,NA,NA,HALLOWELL
236125,Hampshire St. & Troy St.,NA,"Former Use: The Site currently consists of an approximate 0.52-acre, irregular-shaped parcel of land, which is utilized as a parking lot by the City of Auburn since 1999. Remaining portions of the Site include gravel driveways, overgrown vegetation and limited landscaping. The Site formerly operated as a commercial and residential property and was previously improved with at least four multi-story buildings, prior to 1886 until 1999, when the final Site building was demolished. These former Site buildings were occupied by an armory, a bakery/grocery store, a cobbler (with attached residence), a commercial plumbing business, and a machine shop. Additionally, a former Site building and the southern portion of the property was also utilized as a municipal storage lot for the City of Auburn Parks Department.",AUBURN
236126,Puiia Hardware - Lot 5,NA,"Former Use: The Site consists of one irregular-shaped (approximately 7,500 square feet) portion of a larger parcel (Map 121, Lot 5) of land in the Town of Rumford, Maine. The Site was formerly operated for lumber storage, as a part of the adjacent Puiia Hardware and Home Supply Center (Puiia Hardware) property (Map 121, Lot 7), and was previously improved with an open-sided storage shed. The storage shed structure is no longer present; however, the concrete foundation pad was observed at the Site. Remaining portions of the Site consist of paved areas, overgrown vegetated areas, and wooded areas adjacent to Bean Brook.",RUMFORD
236642,Jim's Dry Cleaner,NA,Former Use: Site is a former dry cleaner with documented releases of chlorinated solvents.,MILLINOCKET
236685,Homestead Nursing Home,NA,"The approximately 7.4-acre Site is located at 459 US Route 1 in Kittery, York County, Maine, in a mixed commercial/residential area. The Site is described by the Kittery tax assessor as Map 60, Lot 24, is zoned as mixed use (MU), and is currently owned by DSS Land Holdings, LLC. The approximately 7.4-acre Site is currently a vacant (since 2001) former Homestead nursing home. The Site building is in poor condition.

Former Use: The property consists of a former nursing home which has been vandalized and is poor condition. Currently, the structure is not habitable and will be demolished. Past ownership includes - Hospital Nursing home/hospital constructed 1959 - unknown c. 12/1973; Kittery Convalescent Center Nursing home/hospital constructed 1959 - Unknown 11/28/1980; David Sowerby Nursing home 11/28/1980 -3/28/1996 ; DSS Land Holdings, LLC Nursing home (vacant since 2001) 3/28/1996 -Present",KITTERY
236686,Counting House,NA,"The approximately 0.63-acre Site is located at 90 Saco Falls Way, York County, Maine, in a mixed commercial/residential area. The Site is described by the Biddeford tax assessor as Map 60, Lot 24, is zoned as High Density (MSRD3), and is currently owned by Riverdam Mill LLC. The mill building was part of the former Riverdam Mill complex. The property is an approximately 3.75-acre former cotton textile mill. The Site building appeared to be built in 1900's and was connected/ part of the mill buildings as building No. 3 through No. 5 (store house/offices). From the early 2000's, the Site building appears similar in shape except the portion to the east that connected to the mill was removed and part of the southern building was removed. These areas were replaced with paved parking lots. The Site was sub-divided from the mill in 2015.",BIDDEFORD
237306,Daigle Service,NA,"Former Use: The property was first developed in the 1960s as a service garage and gas station with two underground storage tanks (USTs) for gasoline. The service garage is equipped with an in-ground hydraulic lift with exposed pistons, associated piping and reservoir in the basement. The facility accepted waste oil for supplemental heat with an aboveground storage tank (AST) and several drums in the basement. An AST was installed at the Site for diesel in 1991 and the USTs were replaced with a split-compartment UST. The facility ceased operations in 2016 and remains vacant.",VAN BUREN
237501,113-115 Center Street,NA,"Former Use: The Site is comprises two parcels (113 and 115 Center Street) totaling approximately 0.28 acres with each parcel covers 0.14 acres. 113 Center Street is improved with one three-story multi-family residential building (aka, south Site building) with five units and is approximately 3,150 square feet. 115 Center Street is improved with one three-story multi-family residential building (aka, north Site building) with three units and is approximately 3,200 square feet. All units at each Site building are currently occupied by residents, and each resident has an assigned staff member from VOANNE. For both Site buildings, the basement and attic spaces are unoccupied by residents. Both Site buildings were constructed circa 1900. According to the tax card, both Site buildings were constructed in 1900. Based on review of the available Sanborns, two buildings were constructed on the Site by 1895. By 1895, two residential buildings were constructed on the two Site parcels with stables constructed in the eastern portion of each respective Site parcel. The surrounding area primarily comprises residential apartments from the earliest record reviewed (1889 Sanborn Map) to present day. Some commercial/light industrial business operated in the area west of the Site, including trucking companies from at least 1895 to 1908, as well as auto sales and service and a motor freight station from at least 1949 to 1987. By 1914, approximately half of the surrounding buildings were demolished, and the Site buildings were modified to the current construction layout. In addition, a livery was constructed onsite east of the south Site building in place of the stable. By 1949, the onsite north stable was replaced with an auto garage, and the livery was removed. By 2004, the auto garage east of the north Site building was removed, and Site conditions and the surrounding area use remained similar to present day.",BANGOR
237502,Bangor International Airport (Por. of Map 1 Lot 1),NA,"Formerly part of DOW AFB - report to historically be vacant land; however, aviation fuel pipeline and railroad ran through property and in vicinity of B-52 bomber wing refueling area.",BANGOR
237503,Officers Club,NA,"Formerly part of DOW AFB

Former Use: The Site building was originally constructed in 1958 for use by the U.S. Air Force as the Dow Air Force Base officer's club. The Site was granted to the University of Maine and was used by the Maine Air National Guard following Dow's decommissioning as a U.S. Air Force base in 1968. The Site was later granted to the City of Bangor (City), who remains the owner of the property. The Air National Guard and Army National Guard continued to use the property until approximately 2016 under an agreement with the University and City. The property has remained vacant since the Air National Guard and Army National Guard left in 2016.",BANGOR
237552,137 Leeman Highway,NA,"Property is vacant lot that formerly housed a car wash.

Former Use: Former carwash that was razed in approximately 2010.",BATH
237553,Kittery Water District,NA,"The approximately 7.34-acre Site is located at 17 State Road in Kittery, Maine, in a mixed commercial/residential area. The Site is described by the Kittery tax assessor as 15-23 State Road, Kittery, Maine, Map 3, Lot 145, is zoned as commercial, and is currently owned by the Kittery Water District. According to the property owners, the property had been a disposal area for coal cinders prior to the late 1970s. The cinders were reportedly churned and spread into the existing soil on-Site while leveling the property with a bulldozer. The KWD also indicated that the western end of the property had been a railroad depot at some point in the early 1900s, and coal had been transported on the railroad, and was likely to have been stored on-Site during that time . Four USTs formerly existed on the Site.",KITTERY
237568,107 Center Street,NA,"Condemned residential property that is going to be redeveloped into low income transitional housing.

Former Use: TBD",BANGOR
237569,Thornton Heights Commons,NA,"Former St. John's Catholic Church and School Former Use: The Site is a former church property that was developed in 1960 -1962 with 3 buildings including the church, a school building, and a residence. The buildings have not been maintained and are rapidly falling into disrepair.",SOUTH PORTLAND
237922,Blake & Pine Street,NA,"Former Use: The Site consists of two contiguous, rectangular-shaped parcels of land bounded by Pine Street to the south, Blake Street to the east, and residential properties to the west and north in the City of Lewiston, Androscoggin County, Maine. The Site encompasses a total of approximately 0.32 total acres and is identified on the City of Lewiston Assessor?s Tax Map 195, as Lot 545 (111 Blake Street) and Lot 544 (82 Pine Street). The Site is located in a predominantly residential area of Lewiston. The Site is currently vacant and not improved with buildings but was most recently improved (prior to 2013) with two multi-family residential buildings, which were reportedly constructed at the Site in 1871 (111 Blake Street) and between 1908 and 1914 (82 Pine Street). The former Site buildings were destroyed by fire in April 2013 and remnants of the buildings were demolished and partially removed from the property in May 2013. The site has been approved for a $175,000 Brownfields Cleanup Subgrant ($50,000 Petroleum and $125,000 Hazardous) and $325,000 Brownfields Cleanup Loan ($50,000 Petroleum and $275,000 Hazardous Substance) from AVCOG's Brownfields RLF Grant. These Brownfields cleanup funds will be utilized to remove a former 10,000-gallon heating oil underground storage tank (UST), removal and dispose contaminated soil, and/or install MEDEP-approved soil cover systems over remaining impacted soil on-site.",LEWISTON
238045,Nash Property,NA,"Property has a basement with apparent water damage and an AST in the boiler room. The property has exposed insulation in the attic and household amounts of various solvents in both apartments and in the basement including varnish remover and kerosene. One AST in the basement with localized adjacent staining and corroding paint.

Former Use: The property was purchased by Machias Savings Bank in 2017, and subsequently transferred ownership to Sunrise County Economic Council in 2018.",MACHIAS
238066,Youth & Family Outreach,NA,"The site is located in an urban area of Portland that was filled between 1850 and the 1870s. Environmental assessments of other sites in the Bayside neighborhood of Portland have revealed the presence of metals (e.g., arsenic and lead) and PAHs above the Maine DEP Remedial Action Guidelines (RAGs). In addition, the building that is proposed for demolition (Maria's Ristorante) was constructed in 1926 and may contain hazardous or otherwise regulated building materials (e.g., lead based paint, asbestos-containing materials, and PCBs).

Former Use: he Site consists of five parcels (Tax Map 33, Block K, Lots 5, 6, 7, 9, and 13) that total approximately 0.2663 acres. One lot (337 Cumberland Avenue; Tax Map 33, Block K, Lot 9; 0.1183 acres) contains a 8,722 square-foot building that was constructed in 1926 and has been Maria's Ristorante since the 1960s. Four lots (Tax Map 33, Block K, Lots 5, 6, 7, and 13; 0.2663 acres) have been utilized as a paved surface parking lot since 1993. The uses of these five parcels prior to the dates listed (1960 and 1993, respectively) are unknown.",PORTLAND
238188,Heald's Garage,NA,NA,HALLOWELL
238200,LeBlanc Cleaners,NA,"Former Use: The Site was developed with a wagon repair shop, steam dye facility, and dry cleaning operation circa 1914 and is located in a mixed commercial and residential area in the City of Lewiston. The main Site building with dry cleaning operations was constructed on the Site circa 1955 and consists of a brick-supported single-story commercial building constructed on a concrete slab. The current and former dry cleaner units were located along the northwestern wall of the main Site building between 1955 and 2014. According to Sanborn Maps dating back to the early 1900?s, historical dry cleaning operations took place in the current boiler room. Mr. LeBlanc, the Site owner, had no information regarding operations that took place prior to 1955 or in the boiler room section of the building. Tetrachloroethene or perchlorethylene (PCE or PERC) was the primary dry cleaning solvent. Dry cleaning operations ceased in November 2014. Significant staining was noted under and adjacent to the former dry cleaning units, as well as throughout the Site building.",LEWISTON
238414,Thompson's Point - Brick South,NA,Former locomotive repair facility converted into indoor event space.,PORTLAND
238415,Thompsons Point - Brick North,NA,NA,PORTLAND
238637,Portland Company,NA,"Former Use: The Site comprises approximately 10 acres on the Portland’s eastern waterfront. The Site was formerly used by the Portland Company to manufacture and repair locomotives, steam engines and boilers. More recently, the Site was used for the storage and maintenance of boats, miscellaneous storage and warehousing, and the Maine Narrow Gauge Railroad Museum is also located on Site. There are currently 15 buildings and two detached sheds located on the Site some of which are planned for demolition, with others preserved and incorporated into a large-scale mixed-use redevelopment. The Portland Company, founded in 1845, was originally referred to as the Portland Iron Manufacturing Company and was later renamed to The Portland Company in 1846. The Site was first developed in April 1847, when a foundry, blacksmith shop and machine shop were constructed. All buildings were constructed of brick with slate roofs. The Portland Company’s shops began operations as a railroad locomotive foundry in October 1847 and a wooden railroad car shop was added in the fall of 1847. Historic operations at the facility included construction of steam locomotives, railroad cars, marine boilers and engines, ships (shipyard was in South Portland), lighthouse equipment (spiral staircases, fog signal machines), fire engines, elevators, paper making machines, artillery shell casings (WWI), plastic bottle extruding and forming machines, and nuclear containment vessels for the Rowe, Massachusetts generating plant. Manufacturing at the facility ceased in 1982 and the Site was later converted into a boat repair and storage yard, the Maine Narrow Gauge Railroad Museum, and other commercial and light industrial businesses.",PORTLAND
238710,Mill Town Texaco,NA,"The property was used as a gas station and convenience store until approximately 2012 and has been vacant since the closure of the business. Two USTs that serviced the gas pumps remains on the north side of the property. The convenience store building has tile flooring which may contain suspect ACM. Former Use: The property was owned by J.D. Thomas Texaco, Inc. until business closure after which Carl Gordon of J.D. Thomas Texaco maintained ownership. It served as a gas station from approximately 1960 to 2012.",CALAIS
238749,35 Pritham Ave. &amp; 3 Lakeview St.,NA,"Former Use: The Site consists of two contiguous, irregularly-shaped parcels of land bounded by Pritham Avenue to the south, Lakeview Street to the west, Moosehead Lake to the east, and residential properties to the north in the Town of Greenville, Piscataquis County, Maine. The Site encompasses a total of approximately 1.2 total acres. The Site is located in a mixed commercial and residential area in the Town of Greenville. The Site is currently improved with two commercial buildings, which were reportedly constructed in 1940 (35 Pritham Avenue) and 1986 (3 Lakeview Street). The 35 Pritham Ave. property was formerly utilized as an Exxon gas station until circa 1986. Several temporary small buildings and sheds are also located on the properties for seasonal use. Additional improvements at the Site include paved and gravel parking areas, shoreline access to Moosehead Lake, and maintained landscaped open space. Redevelopment: The site has subsequently been subdivided and sold separately; 35 Pritham Ave. parcel and 3 Lakeview St. parcel. The MEDEP issued a VRAP No Further Action Assurance (NFAA) Letter for the 35 Pritham Ave. parcel (former Exxon Gas Station) and a VRAP No Action Assurance (NAA) Letter for the 3 Lakeview St. (vacant land) parcel. Environmental Media Management Plans have been prepared for each parcel to facilitate future site redevelopment of both parcels.",GREENVILLE
238796,Clough & Pillsbury,NA,"Former Use: The Site consists of one rectangular-shaped, three-story building that encompasses approximately 0.05 acres and is located in downtown Rumford. The Site building was constructed on a full basement with concrete foundation in circa 1894. A functional cable-and-pulley-operated freight elevator services each story within the Site building. The Site building was most recently occupied by a thrift store and has been vacant since approximately 2008. Prior to the thrift store occupancy in the early 1990s, the Site building supported hardware store and/or residential operations since approximately 1894. A suspected livery stable was located at the western portion of the Site from at least 1894 to 1907. The Site was reportedly comprised of a vacant lot in 1892.",RUMFORD
239420,Stonington Lobster Co-Op,NA,"Former Use: Stonington Lobster Co-Op, the Co-Op first occupied the Subject Property in 1948. Prior to that time the Subject Property appears to be undeveloped. The property is located on the Stonington waterfront and is used as a dock and maintenance area for local lobstermen.",STONINGTON
239570,Getchell Ice,NA,NA,BREWER
239595,Central Building - Stevens Campus,NA,NA,HALLOWELL
239625,19 Rockland Street,NA,"Former Use: The Site consists of a rectangular-shaped parcel of land encompassing a total of approximately 0.18 acres located on the northern side of Rockland Street, in a primarily residential neighborhood of the City of Rockland. The Site is occupied by a single-family residential building (the Site building). A barn structure had historically been located on the northeastern portion of the property.The Site was historically owned by Ronald Shafter (and family), and along with the three adjoining parcels to the southeast of the Site, was operated as the “Shafter’s Junk Yard”. Junk yard operations included storage and disposal of scrap metal, used automotive parts, and other potentially hazardous substances.",ROCKLAND
239626,McLain School,NA,"Former Use: The Site consists of a rectangular-shaped lot that encompasses approximately 0.47-acres, located in a primarily residential area of Rockland. The property was developed with the current Site building (McLain School) in 1894. The Site has been operated as a school and/or school administrative office with alternative and adult education programs since that time.",ROCKLAND
239628,Moses Columbia Block,NA,"Former Use: The Site is located in a downtown commercial district in the City of Bath. The Site is occupied by two interconnected commercial buildings known as the Columbia Block and the Moses Block. The buildings were constructed in the early 1890s to provide a mix of retail and community use. The ground-level units along Front Street have been used for a variety of retail, commercial, and office space since that time. The upper floor of the Columbia Block was originally used as the Columbia Theater, and was later used as a United Service Organization (U.S.O.) Hall during World War II and the Maine Employment Security Commission in the 1950s and 1960s. The upper floors of the Moses Block were originally constructed by the Young Men?s Christian Association (Y.M.C.A.) which included residential dormitories/apartments in addition to the Y.M.C.A. community spaces.",BATH
239712,Millinocket Memorial Library,NA,NA,MILLINOCKET
239852,28 Spring Street,NA,"Asbestos containing building materials are present throughout the building. Exterior surfaces of the building are covered in lead-based paint. This lead based paint has impacted surficial soils in the ""drip zone"" adjacent to the building. and we estimate that soils within 3 feet of the house (to a depth of approximately 1 foot deep) are contaminated with lead. Abatement work and lead screening/excavation work began May 26, 2020, based on the approved SSQAPP dated April 17, 2020 (with 3 subsequent addendums, last of which is dated April 28, 2020).",GARDINER
239859,25 & 73 Summer Street,NA,NA,GARDINER
239921,Great Northern Paper #2,NA,"The approximately 215-acre site, identified by the Town of East Millinocket as Parcel Number 0001-2-00000-010, was developed as the Great Northern Paper Mill in 1907, producing paper products as one of the region's largest employers until its closure in 2014. July 16, 2020. During its operation, the GNP mill complex comprised numerous buildings, a wood yard, a stormwater retention pond, aboveground oil storage tanks, storage sheds, parking areas, a vehicle maintenance garage, several pulp storage silos, and a wastewater treatment plant. Although the site is largely vacant at this time, numerous buildings and structures associated with the former mill operations remain present.",EAST MILLINOCKET
239929,Lincoln Paper and Tissue,NA,"Former Use: The Subject Property consists of approximately 43 buildings, aboveground storage tanks (ASTs), a sawdust area, land with no buildings, a hazardous waste storage area, a pond, Mattanawcook Stream, an unnamed stream, wetlands, an on-site wastewater treatment facility with an aeration lagoon, and an underground 33-inch diameter discharge pipeline runs north from the aeration lagoons to the Penobscot River. Two perennial streams traverse the Subject Property: Mattanawcook Stream (which was diverted in the 1970s) and an unnamed stream located west of the solid waste disposal areas. The site has operated as a paper mill since the 1800s. It has closed several times. During one closure it left over 1,150 out of work. The Mill closed again in 2015.",LINCOLN
239998,Lockwood Mill,NA,"Former Use: The Site consists of two structures and a paved parking area located at 6, 6B, and 8 Water Street in the City of Waterville, Kennebec County, Maine. According to the City of Waterville tax maps, 6 Water Street is on parcel ID 044-308, 6B Water Street is on parcel ID 044-309, and 8 Water Street is on parcel ID 044-310. The properties are currently owned by North River Lockwood I, LLC (c/o North River Company).",WATERVILLE
240320,Former Sherman Lumber,NA,"Former Use: The Site was historically occupied by a lumber company. In the early 1980s, the Site Building was converted for use as retail and office and was identified as ?Port Wiscasset?. Retail and office operations continued within the Site Building until approximately 2015 when the building was vacated.",WISCASSET
240347,69 & 71 Main Street,NA,"Former Use: The Site encompasses approximately 0.18 acre and is located in a downtown urban area of Belfast. The Site is currently improved with two adjoining, three-story brick buildings, constructed in 1839, that support commercial operations at the ground level. In addition, residential apartments are maintained within the upper stories of each building. The first story of the 71 Main Street building (southern portion of the Site) is currently occupied by The Green Store, a home goods and furniture retail shop. The first story of the 69 Main Street building (northern portion of the Site) is currently occupied by Harbor Artisans, a local artisan craft retail shop. A variety of commercial tenants, primarily retail-based, have occupied the first stories of each building since the late 1800?s (or earlier).",BELFAST
240351,Big Squaw Mountain Ski Area,NA,"Former Use: The approximately 1,713-acre Site largely consists of undeveloped wooded land and a ski resort (Big Squaw Ski Area). Prior to 1962, the approximate 1,700-acre portion of the Site along Ski Resort Road consisted of undeveloped wooded land. The central portion of the Site was initially developed as a ski area in 1962. Improvements to the ski area between the 1960s and 1990s have included cleared ski trails along the northern face of the mountain, construction and operation of two chair lifts, two ski lodges, a 60-room hotel, and a maintenance garage. The western portion of the ski area accessed by the upper lift was closed in 2004 and the hotel in this area of the Site ceased operations in 2006. The ski area was closed in 2010 and remained closed until 2012, when the nonprofit organization Friends of Squaw Mountain began to operate the lower lodge and lower mountain lift located on the eastern portion of the Site. Seasonal operation of the lower lodge and chair lift during the winter months by Friends of Squaw Mountain has continued since 2012. A 0.5-acre parcel of land along the shore of Mountain View Pond, is also included as part of the Site. This area is currently occupied by a pump house, which was formerly used to supply water for snow making purposes. Based on historical topographic maps, this area was improved with a residential or agricultural structure dating back to 1944. Prior to 1944, this area consisted of undeveloped wooded land. The Site also includes a 13-acre parcel of land located along the western shore of Moosehead Lake. This parcel currently consists of gravel roads and a residential structure with waterfront access to Moosehead Lake (marina); prior to this, the parcel consisted of undeveloped wooded land.",GREENVILLE JUNCTION
240669,Fort Fairfield Community Center,NA,NA,FORT FAIRFIELD
240739,"7 Island Avenue, Skowhegan",NA,"Former Use: Saw/grist mill until 1922, yarn manufacturer 1922-1962, wood medical stick manufacturing 1978-2000, and Chapter 11 Furniture warehouse 2014-Spring 2019. RECs: 1) Historical Industrial Use of Site, and 2) Presence of a fuel oil AST &amp; bunker Other Findings: 1) Potentially hazardous chemicals in basement, 2) Potentially hazardous building materials and mold, and 3) Adjacent properties (auto body shop and filling station) PII/HBMS results: ACM present in numerous building materials throughout the mill building and on the exterior. Lead detected via XRF at levels both above and below 1.0 mg/cm2. No PCB assessment completed. Universal waste present throughout the building. PII/HBMS report provides recommendations to owner for demolition or renovation, depending on owner's future plans.",SKOWHEGAN
240971,Arcade Street,NA,NA,GARDINER
241055,Eastport MGP,NA,NA,EASTPORT
241063,Ranco Lot,NA,"Former Use: The Site was historically maintained as a residential property by a member of the Penobscot Indian Nation. After the owner passed away, the lot fell into disrepair and was subsequently occupied by unauthorized tenants. Currently, the property is vacant and unused.",EUSTIS
241089,3 Main St Howland,NA,Former Use: Residence since 1940s condemned recently due to safety reasons.,HOWLAND
241090,5 Front Street Howland,NA,Former Use: The property has been residential since the 1940s and was at one point converted to part store front and part residence.,HOWLAND
241091,Mercers Store,NA,NA,Hancock
