city,site,name,address,IC,program,status_date,status,n_gdb,n_pdf
PEMBROKE,REM01975,ANTONE'S TRIANGLE STORE,423 U.S. ROUTE 1,NO, VRAP ,2011-08-26,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
ELLSWORTH,REM01976,CHARLIE'S AUTO CENTER,56 FOSTER STREET,NO, VRAP ,2015-12-23,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,2,1
ELLSWORTH,REM01977,VAN LOON PROPERTY,NA,NO, BROWNFIELDS ,2010-06-24,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PORTLAND,REM01978,FJM LOT 2,201 FORE STREET,NO, VRAP ,2011-06-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
WILTON,REM01979,PRIMARY SCHOOL,24 SCHOOL STREET,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
WESTBROOK,REM01980,WESTBROOK RITE AID,465 MAIN STREET,NO, VRAP ,2010-09-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
FORT KENT,REM01981,THIBODEAU PROPERTY,3 VILLAGE ROAD,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
BERWICK,REM01982,PRIME TANNING,20 29 34 AND 35 SULLIVAN,NO, VRAP ,2019-08-17,REMEDIATION STAGE ONGOING,NA,1
GARDINER,REM01983,GARDINER WATERFRONT,23 STEAMBOAT STREET,YES, VRAP ,2012-08-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BIDDEFORD,REM01984,WESTPOINT STEVENS,1-15 YORK STREET 100 MA,NO, VRAP ,2016-08-18,REMEDIATION STAGE ONGOING,NA,1
BRUNSWICK,REM01985,RAIL LINE UPGRADE,BETWEEN MAINE & SPRING,NO, VRAP ,2012-02-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BELFAST,REM01986,WALDO COUNTY SHERIFF,45 CONGRESS STREET,YES, VRAP ,2015-10-15,REMEDIATION STAGE NEED (AWAITING RESOURCES),2,1
HOULTON,REM01987,I-95 MOBIL,247 NORTH STREET,NO, VRAP ,2013-04-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CARIBOU,REM01988,CYR CONSTRUCTION,217 MAIN STREET,NO, VRAP ,2010-09-17,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
WISCASSET,REM01989,KOEHLING PROPERTY,215 GARDINER ROAD,NO, VRAP ,2012-08-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
FORT KENT,REM01990,SOUCY PROPERTY,64 EAST MAIN STREET,NO, VRAP ,2010-09-27,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
FORT KENT,REM01991,NORTHLAND PROPERTIES,210 211 & 212 MARKET ST,NO, VRAP ,2010-11-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BIDDEFORD,REM01992,LEE'S FORMAL WEAR,78 GRAHAM STREET,YES, UNCONTROLLED SITES ,2013-06-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
RAYMOND,REM01993,RAYMOND SERVICE CENTER,2 COUNTY ROAD,NO, VRAP ,2011-02-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM01994,NASB-PARCEL 1,FITCH AVE & PEGASUS ST,YES, VRAP ,2010-11-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BATH,REM01995,BATH ARMORY,2 OLD BRUNSWICK ROAD,YES, VRAP ,2014-12-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM01996,BUDGET RENT A CAR,1126 WESTBROOK STREET,YES, VRAP ,2010-12-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
WINDHAM,REM01997,HERITAGE METALCRAFT,354 GRAY ROAD,NO, VRAP ,2025-01-23,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
MACHIAS,REM01998,MACHIAS SERVICE CENTER,75 BROADWAY,NO, VRAP ,2014-12-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SACO,REM01999,OLD TANNERY,32 MARKET STREET,YES, VRAP ,2015-02-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BIDDEFORD,REM02000,EMERY SCHOOL,116 HILL STREET,YES, BROWNFIELDS ,2012-11-15,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH PORTLAND,REM02001,ANGELONE'S,225 OCEAN STREET,NO, VRAP ,2011-01-27,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
TOPSHAM,REM02002,GOOD GUYS AUTO,247 LEWISTON ROAD,NO, VRAP ,2010-12-01,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
SOUTH PORTLAND,REM02003,161 OCEAN STREET,161 OCEAN STREET,YES, VRAP ,2011-03-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
RICHMOND,REM02004,WILMOT BROOK PROPERTY,RIVER ROAD,NO, VRAP ,2011-03-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LUBEC,REM02005,COLUMBIAN FACTORY,135 MAIN STREET,YES, BROWNFIELDS ,2017-10-12,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FRIENDSHIP,REM02006,FRIENDSHIP PLUMBING & HEATING,26 MAIN STREET,YES, VRAP ,2011-09-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
RAYMOND,REM02007,CHIPCO INTERNATIONAL,1281 ROOSEVELT TRAIL,NO, VRAP ,2011-05-04,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BANGOR,REM02008,INTERSTATE AUTOMOTIVE,340 ODLIN ROAD,NO, VRAP ,2020-08-17,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
SOUTH PORTLAND,REM02010,BROADWAY IRVING,1095 BROADWAY,YES, VRAP ,2015-10-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LIVERMORE FALLS,REM02011,2 DEPOT STREET,2 DEPOT STREET,NO, BROWNFIELDS ,2011-02-16,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
BINGHAM,REM02012,QUIMBY MILL,LANDER AVENUE,NO, BROWNFIELDS ,2019-04-30,INVESTIGATION STAGE ONGOING,2,1
FARMINGDALE,REM02013,DRAGON PRODUCTS,1 PIT STREET,NO, BROWNFIELDS ,2011-02-16,INVESTIGATION STAGE ONGOING,NA,1
PORTLAND,REM02014,JEFAL,170 ANDERSON STREET,NO, VRAP ,2011-04-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
EUSTIS,REM02015,ARNOLD TRAIL QUALITY FUELS,108 MAIN STREET,YES, VRAP ,2011-10-27,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
YARMOUTH,REM02016,YARMOUTH AUTO,ROUTE 1 & WILLOW ST,NO, VRAP ,2014-05-07,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AUBURN,REM02017,SAVAGE/ SAFE HANDLING,123 RODMAN RD.,YES, RCRA ,2011-03-30,INVESTIGATION STAGE ONGOING,NA,1
PORTLAND,REM02018,BARBER FOODS,70 ST. JOHN STREET,NO, VRAP ,2011-09-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM02019,ADAMS SCHOOL,34 MOODY STREET,NO, BROWNFIELDS ,2013-06-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LEWISTON,REM02020,LA WPC EXPANSION,535 LINCOLN STREET,NO, VRAP ,2013-04-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BANGOR,REM02021,QUINN PARCEL,KITTREDGE ROAD,NO, VRAP ,2011-06-30,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BATH,REM02022,M.W. SEWALL OFFICE BLDG,259 FRONT STREET,YES, VRAP ,2011-08-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BERWICK,REM02023,FORMER SULLIVAN SCHOOL,45 SCHOOL STREET,NO, VRAP ,2011-08-23,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
PORTLAND,REM02024,ELDREDGE LUMBER & HARDWARE,165 PRESUMPSCOT STREE,YES, VRAP ,2015-02-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
NEWPORT,REM02025,HARTLEYS NEWPORT,30 MAIN STREET,NO, VRAP ,2011-08-31,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
SEBEC,REM02026,VARNUM FARMS,1769 RIVER ROAD,NO, VRAP ,2011-10-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BANGOR,REM02027,FEDEX BUILDING,510 PERRY ROAD,NO, VRAP ,2011-08-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BELFAST,REM02028,45 FRONT STREET,45 FRONT STREET,YES, VRAP ,2019-07-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,3,1
FORT FAIRFIELD,REM02029,FLEWELLING PROPERTY,HOULTON ROAD (ROUTE 1),NO, VRAP ,2020-04-24,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
DRESDEN,REM02030,LEMAR PROPERTY,BLINN HILL ROAD,NO, VRAP ,2011-08-09,COMPLAINT INVESTIGATED REVIEWING PRELIMINARY SITE INFORMATION,NA,1
WISCASSET,REM02031,GREG'S USED CARS,546 GARDINER ROAD,NO, VRAP ,2011-08-09,COMPLAINT INVESTIGATED REVIEWING PRELIMINARY SITE INFORMATION,NA,1
EASTPORT,REM02032,CONSEA PROPERTY,1 COUNTY ROAD,NO, VRAP ,2012-03-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
FAIRFIELD,REM02033,MCCS PARCEL GOODWILL HINCKLEY,ROUTE 201,NO, VRAP ,2011-09-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
PORTLAND,REM02034,ENVIROLOGIX,500 RIVERSIDE INDUSTRIAL,NO, VRAP ,2011-10-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM02035,LAYOVER FACILITY,BETWEEN CHURCH ST & S,NO, VRAP ,2016-12-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HARPSWELL,REM02036,WEST HARPSWELL SCHOOL,HARPSWELL NECK ROAD A,NO, BROWNFIELDS ,2020-04-24,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
BAR HARBOR,REM02037,MARINE ATLANTIC TERMINAL,121 EDEN STREET,YES, VRAP ,2016-09-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
EASTPORT,REM02038,MOOSE ISLAND MARINE,19 DEEP COVE ROAD,NO, BROWNFIELDS ,2020-04-24,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
ELLSWORTH,REM02039,ELLSWORTH FEED & SEED,18 MERRILL LANE,NO, BROWNFIELDS ,2020-04-24,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
WESTBROOK,REM02040,FORMER MAINE RUBBER,924 MAIN STREET,NO, VRAP ,2014-09-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HARRINGTON,REM02041,FUTURE COMMUNITY CENTER,U.S. ROUTE 1 & WEST STR,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
EASTPORT,REM02042,FIBER EXTRUSION,ROUTE 190 & VANASSE RO,YES, VRAP ,2019-01-02,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,3,1
JONESBORO,REM02043,SCHOPPEES GARAGE,US ROUTE 1,YES, BROWNFIELDS ,2016-03-04,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
GUILFORD,REM02044,DESMOND'S VARIETY,84 ELM STREET,NO, BROWNFIELDS ,2021-03-15,INVESTIGATION STAGE NEED (AWAITING RESOURCES),4,1
BOOTHBAY HARBOR,REM02045,LEWIS OIL,47 LAKESIDE DRIVE,NO, VRAP ,2011-11-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SULLIVAN,REM02046,COUNTRY STORE,2317 US ROUTE 1,NO, BROWNFIELDS ,2013-02-22,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,1,1
BARING PLT,REM02047,O'NEILL PROPERTY,202 US ROUTE 1,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE ONGOING,1,1
EAST MILLINOCKET,REM02048,GREAT NORTHERN PAPER,50 MAIN STREET,NO, UNCONTROLLED SITES ,2025-02-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,4,1
MILLINOCKET,REM02049,GREAT NORTHERN PAPER,1 KATAHDIN AVENUE,NO, BROWNFIELDS ,2018-11-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,3,1
AUGUSTA,REM02050,KENNEBEC JOURNAL,274 WESTERN AVENUE,YES, VRAP ,2013-03-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HOULTON,REM02051,COUNTY YANKEE GROCER,101 MILITARY STREET,NO, VRAP ,2012-03-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
LINCOLNVILLE,REM02052,LINCOLNVILLE STORE,269 MAIN STREET,YES, VRAP ,2016-06-21,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AUGUSTA,REM02053,O'CONNOR JUNKYARDSITE,ROUTE 17,YES, SUPERFUND ,2007-04-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
STANDISH,REM02054,GTE CONTROL DEVICES,228 NORTHEAST ROAD,YES, RCRA ,2020-05-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
LIMESTONE,REM02055,LAFB OPERABLE UNIT 12,154 DEVELOPMENT DRIVE,NO, FEDERAL FACILITIES ,1950-01-01,REMEDIATION STAGE ONGOING,2,1
LOVELL,REM02057,LOVELL MUNICIPAL LANDFILL,RT 5,YES, LANDFILL CLOSURE ,1980-07-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
WINSLOW,REM02058,KENNEBEC RIVER DEVELOPMENT PARK,14 BENTON AVE,YES, RCRA ,2017-04-25,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
WISCASSET,REM02059,MAINE YANKEE,321 OLD FERRY ROAD,YES, RCRA ,2018-12-13,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
VASSALBORO,REM02061,CARL'S QUICK STOP,951 MAIN STREET,NO, BROWNFIELDS ,2012-01-01,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,1,1
WESTBROOK,REM02062,ST. ANTHONY'S PARISH,2 WALKER STREET,NO, VRAP ,2013-05-15,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
NORWAY,REM02063,OPERA HOUSE,396 MAIN STREET,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
NORWAY,REM02064,ALAN DAY COMMUNITY GARDEN,26 WHITMAN STREET,YES, VRAP ,2013-11-14,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
NEWPORT,REM02065,SHOREY OIL,25 PROGRESS PARK SOUT,NO, VRAP ,2011-11-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BREWER,REM02066,WASHINGTON STREET SCHOOL,100 WASHINGTON STREET,NO, BROWNFIELDS ,2020-04-24,INVESTIGATION STAGE NEED (AWAITING RESOURCES),1,1
BREWER,REM02067,CAPRI STREET SCHOOL,49 CAPRI STREET,NO, VRAP ,2014-10-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
BREWER,REM02068,FORMER MIDDLE SCHOOL,5 SOMERSET STREET,YES, BROWNFIELDS ,2016-02-11,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BREWER,REM02069,STATE STREET SCHOOL,131 STATE STREET,YES, VRAP ,2015-04-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
WELLS,REM02070,GRANITE STATE LANDS,QUARRY AND PERRY OLIV,NO, BROWNFIELDS ,2011-11-08,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
LIVERMORE FALLS,REM02071,LAMB BLOCK,10 AND 16 DEPOT STREET,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
LYMAN,REM02072,COUSENS SCHOOL,382 GOODWINS MILLS ROA,NO, VRAP ,2016-04-25,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
GORHAM,REM02073,THOMPSON MACHINE,633 MAIN STREET,NO, VRAP ,2012-02-15,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
VASSALBORO,REM02074,AMERICAN WOOLEN MILL,OAK GROVE ROAD/ROUTE,NO, UNCONTROLLED SITES ,2020-06-18,INVESTIGATION STAGE ONGOING,1,1
GORHAM,REM02075,PLAN-IT RECYCLING,18 GORHAM INDUSTRIAL P,YES, VRAP ,2012-04-09,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM02076,CPORT CREDIT UNION,285 FOREST AVENUE,NO, VRAP ,2012-05-11,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
OLD ORCHARD BEACH,REM02077,BBI WASTE INDUSTRIES,1 VALLEE DRIVE,YES, VRAP ,2014-08-22,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BATH,REM02078,LATIUM PROPERTY,135 & 141 LEEMAN HIGHWA,YES, BROWNFIELDS ,2012-09-28,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HOULTON,REM02079,CROCKETT PUMP STATION,57 SMYRNA STREET,YES, VRAP ,2012-12-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BRUNSWICK,REM02080,NASB SMCC PARCEL,NA,YES, VRAP ,2011-11-10,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BREWER,REM02081,557 WILSON STREET,557 WILSON STREET,NO, VRAP ,2012-01-23,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
SOUTH PORTLAND,REM02082,PORTLAND VALVE CO.,ONE MADISON STREET,NO, RCRA ,2012-01-23,INVESTIGATION STAGE ONGOING,NA,1
BIDDEFORD,REM02084,SAGOMA PLASTICS,16 LANDRY STREET,NO, VRAP ,2012-03-02,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
GUILFORD,REM02085,PRIDE MANUFACTURING,187 WATER STREET,YES, VRAP ,2012-02-27,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
WESTBROOK,REM02086,LETART CLEANERS,821 MAIN STREET,NO, VRAP ,2012-04-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRIDGTON,REM02087,BRIDGTON DRY CLEANING,295 MAIN STREET,YES, UNCONTROLLED SITES ,2022-05-12,INVESTIGATION STAGE ONGOING,NA,1
BELMONT,REM02088,MARITIME ENERGY,380 AUGUSTA ROAD,YES, RCRA ,2007-02-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SANFORD,REM02090,INTERNATIONAL WOOLEN CO. INC.,100 DALE ST.,YES, RCRA ,2017-01-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
WEST GARDINER,REM02091,GARDINER TRAINING SITE,RT 126/9,NO, RCRA ,2011-11-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BRUNSWICK,REM02092,CENTRAL MAINE POWER BRUNSWICK SERVICE 280 BATH RD.,NA,YES, RCRA ,2017-03-29,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
HERMON,REM02093,COUNTRY STORE,2507 U.S. ROUTE 2,YES, VRAP ,2012-04-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CAPE ELIZABETH,REM02094,FRESH LOOK,327-329 OCEAN HOUSE RO,NO, VRAP ,2012-01-24,INVESTIGATION STAGE ONGOING,NA,1
SABATTUS,REM02095,WEBSTERS MILL,10 GREENE STREET,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
BRIDGTON,REM02096,RUFUS PORTER MUSEUM,121 MAIN STREET,NO, VRAP ,2013-07-01,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PORTLAND,REM02097,NEW SYSTEM LAUNDRY,78 PARRIS STREET,NO, UNCONTROLLED SITES ,2007-11-30,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
ROCKLAND,REM02098,MACDOUGAL SCHOOL PROPERTY,338 BROADWAY,NO, BROWNFIELDS ,2012-02-29,REMEDIATION STAGE NEED (AWAITING RESOURCES),NA,1
ASHLAND,REM02099,ASHLAND CENTRAL SCHOOL,NA,NO, BROWNFIELDS ,2020-04-24,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
SOUTH PORTLAND,REM02100,TRASK DECROW MACHINERY,95 MAIN STREET,YES, VRAP ,2012-05-17,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
BELFAST,REM02101,ALANS TOWING,79 WATERVILLE ROAD,NO, VRAP ,2012-09-27,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,1,1
DOVER-FOXCROFT,REM02102,CENTRAL HALL,152 EAST MAIN STREET,YES, BROWNFIELDS ,2017-04-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
PORTLAND,REM02103,ADAMS PARK,MOODY STREET,YES, VRAP ,2015-07-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
PERRY,REM02104,ERB JUNKYARD,42 GLEASON ROAD,NO, UNCONTROLLED SITES ,2007-01-18,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
FORT FAIRFIELD,REM02105,MICHAUD JUNKYARD,PRESQUE ISLE ROAD,NO, UNCONTROLLED SITES ,2007-04-01,TRANSFERRED TODIVISION SOLID WASTE,1,1
ASHLAND,REM02106,KELLY LUMBER,43 REALTY ROAD,YES, VRAP ,2012-05-16,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EASTPORT,REM02107,QUODDY BAY LOBSTER,7 SEA STREET,YES, VRAP ,2012-06-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
CUMBERLAND,REM02108,LOT 1 WCBP,77 BLACKSTRAP ROAD,YES, VRAP ,2023-11-17,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
DEER ISLE,REM02109,THE GALLEY,11 MAIN STREET,NO, VRAP ,2012-07-09,REMEDY IN PLACE: CLOSED NO (OR DE-MINIMIS) CONTAMINATION LEFT ON SITE,NA,1
BANGOR,REM02110,76 PIER STREET,76 PIER STREET,YES, BROWNFIELDS ,2015-02-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
MILO,REM02111,"REUBEN""S MARKET",97 ELM STREET,NO, VRAP ,2012-08-08,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
EASTPORT,REM02112,FIRST PERRY PARCEL,16 DEEP COVE ROAD,NO, VRAP ,2013-02-05,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,2,1
BOOTHBAY HARBOR,REM02113,PUMO PROPERTY,1 TODD AVENUE,NO, VRAP ,2001-01-29,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
PORTLAND,REM02114,OLD BONANZA,1200 CONGRESS STREET,YES, VRAP ,2000-06-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
SOUTH BRISTOL,REM02117,FISHERMAN'S CO-OP,35 THOMPSON INN ROAD,NO, VRAP ,2012-09-19,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
FAYETTE,REM02119,MANTER PROPERTY,120 YOUNG ROAD,NO, OTHER ,2012-01-13,TRANSFERRED TODIVISION OTHER,NA,1
DEXTER,REM02120,GUDROE JUNKYARD,456 GARLAND ROAD,NO, OTHER ,2007-12-20,TRANSFERRED TODIVISION OIL,2,1
FREEDOM,REM02121,SKIDGEL'S WAREHOUSE,10 SKIDGEL LANE,NO, BROWNFIELDS ,2018-12-26,INVESTIGATION STAGE ONGOING,2,1
HOULTON,REM02122,SHANNON'S REPAIR],42 AIRPORT DRIVE,NO, BROWNFIELDS ,2017-12-15,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
MADAWASKA,REM02123,BRIDGE STREET DUMP,82 BRIDGE AVENUE,NO, UNCONTROLLED SITES ,2005-10-07,TRANSFERRED TODIVISION SOLID WASTE,1,1
